地上攻撃,,,,,,,,,,,,,,,,,,,,,
空前,Hit 1,10-11,47,4,4.8,4.08,3F,8,10-40,,,,,0,1,1,,,,,
,Hit 2,17-18,,4,4.8,4.08,3F,,,,,,,0,1,1,,,,,
,Hit 3,25-27,,6,7.2,6.12,3F,,,,,,,0,1,1,,,,,
空後,,6-8,40,13,15.6,13.26,5F,10,3-31,,,,,0,1,1,,,,,
,持続,9-12,,8,9.6,8.16,4F,,,,,,,0,1,1,,,,,
空上,,8-13,37,10,12,10.2,4F,7,8-19,,,,,0,1,1,,,,,
空下,Hit 1-5,"18-19, 21-22, 
24-25, 27-28, 
30-31",54,1.3,1.56,1.326,2F,16,18-47,,,,,0,1.5,1.2,,,,,
,Hit 6,34,,2,2.4,2.04,2F,,,,,,,0,1,1,,,,,
,着地,1-2,,2,2.4,2.4,3F,,,,,,,0,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,
必殺ワザ,,,,,,,,,,,,,,,,,,,,,
NB (すいこみ),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上・空中,"すいこみ, 風","11-44
(Rehit: 10)",63,0,0,,"全身無敵：1-15F (敵すいこみ中)
すいこみ中は敵ファイターも全身無敵。

のみこみ, 星のダメージは敵ファイター依存。

攻撃判定のサイズが5.0以上で反射可能な飛び道具は、ダメージが0.8倍 (ただし整数値のみ)の星にしてはきだすことができる。


アイテム・飛び道具のみこみで1%回復。
爆発系アイテムのみこみで5% (6%)の自傷ダメージ。",,,,,,,,,,,,,5F目,TRUE
,すいこみ,10-44,,,,,,,,,,,,,,,,,,,
,すいこみ解除,,19,,,,,,,,,,,,,,,,,,
,のみこみ,8,20,10,12,,,,,,,,,,,,,,,,
,"のみこみ, 星",8-57,,*,*,*,,,,,,,,0,1,1,,,TRUE,,
,地上はきだし,8,30,6,7.2,,,,,,,,,,,,,,,,
,空中はきだし,8,38,6,7.2,,,,,,,,,,,,FALSE,FALSE,FALSE,,
,"はきだし, 星",8-57,,10+,12+,4F+,,,,,,,,0,1,1,,,TRUE,,
,たべもの,取得：11F,37,,,,,,,,,,,,,,,,,,
,小アイテム等,取得：11F,51,,,,,,,,,,,,,,,,,,
,大アイテム,取得：11F,85,,,,,,,,,,,,,,,,,,
,爆発系アイテム,取得：11F,71,,,,,,,,,,,,,,,,,,
ピクミン&オリマー,地上,24-*,36,,,,ダメージはピクミン&オリマーのページ参照（コピーの1.2倍補正は適用されない）。,,,,,,,,,,,,,5F目,TRUE
,"空中, 失敗",,46,,,,,,,,,,,,,,,,,,
ロゼッタ&チコ,溜め無し,10-23,34,6,7.2,3F,"溜め中からの最速発生は4F。
発射後、80F待機で再発射可能。",,,,,,,,,,,,,5F目,TRUE
,最大溜め,4-20,28,19.2,23.04,6F,,,,,,,,,,,,,,,
横B (ハンマー),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上,非最大溜め,26-27,69,19+,22.8+,17F+,"全身無敵：2-10F (地上, 最大溜め)
アーマー：11-17F (地上, 最大溜め)

最大溜め：120F
溜め開始：17F目
溜め中からの最速発生は11F。
ダメージ増加 = 溜めフレーム * 0.085
相殺なし。",,,,,,,0,1,1,TRUE,TRUE,,FALSE,TRUE
,最大溜め,11-12,59,35,42,30F,,,,,,,,0,1,1,TRUE,TRUE,,,
,ジャンプ,,6,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,
空中,"非最大, Hit 1",28-29,71,16+,19.2+,14F+,,,,,,,,0,1,1,TRUE,TRUE,,,
,"非最大, Hit 2",42-43,,16+,19.2+,14F+,,,,,,,,,,,FALSE,FALSE,FALSE,,
,最大溜め,11-12,59,28,33.6,24F,,,,,,,,0,1,1,TRUE,TRUE,,,
上B (ファイナルカッター),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上・空中,Hit 1,23-26,,5,6,6F,"着地隙：30F
カッターは相殺なし。

ガケつかまり(前)：33F目以降
(Ver. 3.0.0で36F目以降 -> 33F目以降に変更)",,,,,,,0,1,1,TRUE,TRUE,,5F目,TRUE
,"Hit 2, メテオ",41-49,,2,2.4,3F,,,,,,,,0,1,1,TRUE,TRUE,,,
,"Hit 2, 持続",50-*,,2,2.4,3F,,,,,,,,0,1,1,TRUE,TRUE,,,
,カッター,1-2,30,5,6,3F,,,,,,,,0,1,1,TRUE,FALSE,TRUE,,
,"カッター, 持続",3-17,,6,7.2,3F,,,,,,,,0,1,1,TRUE,FALSE,TRUE,,
下B (ストーン),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
空中,,29-*,(78),18,21.6,16F,"ヘビーアーマー：19-28F (空中, 25%)
ストーンHP：25%
HPを超えると攻撃判定 * 0.5のダメージを受ける。
地上からは11F目に着地。
相殺なし。",,,,,,,0,1,1,TRUE,TRUE,,FALSE,FALSE
地上・空中,着地,1,,14,16.8,13F,,,,,,,,0,1,1,TRUE,TRUE,,,
,解除,,31,,,,,,,,,,,0,1,1,TRUE,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,
つかみ・投げ,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),,,,,,,,,,,,,,,,
つかみ攻撃,つかみ攻撃,1,5,1,1.2,,,,,,,,,,,,,,,,
つかみ,その場,6-7,33,,,,,,,,,,,,,,,,,,
,ダッシュ,9-10,41,,,,,,,,,,,,,,,,,,
,ふりむき,10-11,36,,,,,,,,,,,,,,,,,,
投げ,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),備考,,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,,,,,
前投げ,打撃,,58,,,,,,,,,,,,,,,,,,
,投げ,45,,5,6,,,,,,,,,,,,,,,,
後投げ,打撃,,49,,,,,,,,,,,,,,,,,,
,投げ,41,,8,9.6,,,,,,,,,,,,,,,,
上投げ,打撃,45-46,79,7,8.4,"打撃部分は投げ中の相手にはヒットしない。
45F目から8F硬直。",,,,,,,,,,,,,,,
,投げ,51,,10,12,,,,,,,,,,,,,,,,
下投げ,打撃 1-9,"9-10, 13-14, 
17-18, 21-22, 
25-26, 29-30, 
33-34, 37-38, 
41-42",87,1,1.2,,,,,,,,,0,1,1,,,,,
,打撃 10,56-57,,1,1.2,,,,,,,,,0,1,1,,,,,
,投げ,58,,2,2.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
回避,,,,,,,,,,,,,,,,,,,,,
,,無敵フレーム,無敵 (ペナ最大),全体フレーム,全体 (ペナ最大),,,,,,,,,,,,,,,,
地上回避,その場,3-17,6-17,26 (21),35 (28),,,,,,,,,,,,,,,,
,前方,4-15,8-14,30,40,,,,,,,,,,,,,,,,
,後方,5-16,9-14,35,53,,,,,,,,,,,,,,,,
空中回避,通常,3-29,6-27,62,,,,,,,,,,,,,,,,,
,移動,3-21,6-20,"真横：102
真上：141
真下：82",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
共通動作 (ガケ・受け身...),,,,,,,,,,,,,,,,,,,,,
,,無敵フレーム,全体フレーム,判定持続,基礎ダメージ,ダメージ (1v1),,,,アイテム取得,,取得フレーム,全体フレーム,,,,,,,,
ガケ行動,ガケつかまり,,19,,,,,,,小アイテム,その場,-,7,,,,,,,,
,その場,1-32,33,,,,,,,,歩き,-,23,,,,,,,,
,回避,1-22,45,,,,,,,アイテム投擲,,投擲フレーム,全体フレーム,,,,,,,,
,ジャンプ,1-12,14,,,,,,,地上投擲,前投げ,8,24,,,,,,,,
,攻撃,1-22,55,20-22,9,10.8,,,,,後投げ,11,24,,,,,,,,
受け身,その場,1-20,26,,,,,,,,上投げ,12,23,,,,,,,,
,前方,1-20,40,,,,,,,,下投げ,7,23,,,,,,,,
,後方,1-20,40,,,,,,,,ダッシュ,5,39,,,,,,,,
あお向けダウン,倒れ,,25,,,,,,,,その場捨て,7,23,,,,,,,,
,その場,1-22,29,,,,,,,空中投擲,前投げ,8,25,,,,,,,,
,前方,1-18,35,,,,,,,,後投げ,11,29,,,,,,,,
,後方,1-20,35,,,,,,,,上投げ,12,29,,,,,,,,
,攻撃1,1-21,45,16-17,7,8.4,,,,,下投げ,7,23,,,,,,,,
,攻撃2,,,20-21,7,8.4,,,,踏み台ジャンプ,,全体フレーム,,,,,,,,,
うつ伏せダウン,倒れ,,25,,,,,,,踏み,踏み,7,,,,,,,,,
,その場,1-22,29,,,,,,,踏まれ,地上踏まれ,-,,,,,,,,,
,前方,1-23,35,,,,,,,,踏み,28,,,,,,,,,
,後方,1-28,35,,,,,,,,空中踏まれ,8,,,,,,,,,
,攻撃1,1-21,45,16-17,7,8.4,,,,,空中落下,41,,,,,,,,,
,攻撃2,,,20-21,7,8.4,,,,倒れダメージ,,全体フレーム,,,,,,,,,
転倒,硬直(小),1-5,29,,,,,,,あお向け倒れ,モーション大,39,,,,,,,,,
,硬直(大),1-5,39,,,,,,,うつ伏せ倒れ,モーション大,39,,,,,,,,,
,その場,1-16,21,,,,,,,,,,,,,,,,,,
,前方,1-9,28,,,,,,,,,-,,,,,,,,,
,後方,1-9,28,,,,,,,,,,,,,,,,,,
,攻撃1,1-7,49,19-20,5,6,,,,,,,,,,,,,,,
,攻撃2,,,27-28,5,6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
アイテム,,,,,,,,,,,,,,,,,,,,,
アイテム取得,,取得フレーム,全体フレーム,,,,,,,,,,,,,,,,,,
小アイテム,その場,2,7,,,,,,,,,,,,,,,,,,
,ダッシュ,2,19,,,,,,,,,,,,,,,,,,
大アイテム,その場,3,12,,,,,,,,,,,,,,,,,,
アイテム投擲,,投擲フレーム,全体フレーム,,,,,,,,,,,,,,,,,,
地上投擲,前投げ,8,24,,,,,,,,,,,,,,,,,,
,後投げ,11,24,,,,,,,,,,,,,,,,,,
,上投げ,12,23,,,,,,,,,,,,,,,,,,
,下投げ,7,19,,,,,,,,,,,,,,,,,,
,ダッシュ,5,29,,,,,,,,,,,,,,,,,,
,その場捨て,7,23,,,,,,,,,,,,,,,,,,
空中投擲,前投げ,8,24,,,,,,,,,,,,,,,,,,
,後投げ,11,24,,,,,,,,,,,,,,,,,,
,上投げ,12,23,,,,,,,,,,,,,,,,,,
,下投げ,7,19,,,,,,,,,,,,,,,,,,
"大アイテム
投擲",前投げ,15,30,,,,,,,,,,,,,,,,,,
,後投げ,15,30,,,,,,,,,,,,,,,,,,
,上投げ,11,22,,,,,,,,,,,,,,,,,,
,下投げ,11,22,,,,,,,,,,,,,,,,,,
